Year,Genre,Distinct_Title_Count
1916,Drama,1
1916,History,1
1920,Crime,1
1920,Drama,1
1921,Comedy,1
1921,Drama,1
1921,Family,1
1925,Adventure,1
1925,Comedy,1
1925,Drama,2
1925,Romance,1
1925,War,1
1926,Action,1
1926,Adventure,1
1926,Comedy,1
1927,Drama,2
1927,Romance,1
1927,Sci-Fi,1
1928,Biography,1
1928,Drama,1
1928,History,1
1929,Crime,1
1929,Drama,2
1929,Musical,1
1929,Romance,2
1930,Drama,2
1930,War,2
1931,Comedy,1
1931,Crime,1
1931,Drama,2
1931,Mystery,1
1931,Romance,1
1932,Drama,1
1932,Romance,1
1932,War,1
1933,Comedy,2
1933,Drama,1
1933,History,1
1933,Musical,1
1933,Romance,1
1934,Comedy,1
1934,Romance,1
1935,Comedy,2
1935,Music,1
1935,Musical,2
1935,Romance,1
1936,Action,1
1936,Adventure,1
1936,Comedy,1
1936,Drama,1
1936,Family,1
1936,Romance,1
1937,Adventure,1
1937,Animation,1
1937,Drama,1
1937,Family,1
1937,Fantasy,1
1937,Romance,1
1938,Comedy,1
1938,Drama,2
1938,Musical,1
1938,Romance,2
1939,Adventure,1
1939,Comedy,1
1939,Drama,2
1939,Family,1
1939,Fantasy,1
1939,History,1
1939,Romance,1
1940,Adventure,1
1940,Animation,2
1940,Comedy,4
1940,Drama,6
1940,Family,3
1940,Fantasy,2
1940,History,1
1940,Mystery,1
1940,Romance,4
1940,War,1
1941,Drama,2
1941,Family,1
1941,Film-Noir,1
1941,Mystery,2
1942,Animation,1
1942,Drama,2
1942,Family,1
1942,Romance,1
1942,War,1
1943,Drama,1
1943,Romance,1
1943,War,1
1944,Comedy,2
1944,Crime,3
1944,Drama,3
1944,Film-Noir,2
1944,Musical,1
1944,Mystery,1
1944,Thriller,1
1945,Comedy,1
1945,Drama,4
1945,Film-Noir,2
1945,Musical,1
1945,Mystery,1
1945,Romance,2
1946,Crime,1
1946,Drama,4
1946,Family,1
1946,Fantasy,1
1946,Film-Noir,2
1946,Mystery,1
1946,Romance,3
1946,War,1
1946,Western,1
1947,Adventure,1
1947,Crime,2
1947,Drama,4
1947,Film-Noir,2
1947,Romance,2
1948,Action,1
1948,Adventure,3
1948,Comedy,1
1948,Crime,2
1948,Drama,4
1948,Musical,1
1948,Romance,1
1948,Thriller,1
1948,Western,1
1949,Action,1
1949,Comedy,1
1949,Crime,1
1949,Drama,1
1949,Film-Noir,1
1949,Mystery,1
1949,Romance,1
1949,Thriller,1
1949,Western,1
1950,Biography,1
1950,Comedy,2
1950,Crime,1
1950,Drama,4
1950,Fantasy,1
1950,Film-Noir,1
1950,Musical,1
1950,Mystery,1
1951,Biography,1
1951,Crime,1
1951,Drama,3
1951,Family,1
1951,Film-Noir,1
1951,History,1
1951,Musical,1
1951,Thriller,1
1952,Comedy,1
1952,Crime,1
1952,Drama,4
1952,Family,1
1952,Film-Noir,1
1952,Musical,1
1952,Romance,2
1952,Thriller,1
1952,Western,1
1953,Adventure,2
1953,Comedy,1
1953,Drama,5
1953,Film-Noir,1
1953,History,1
1953,Horror,1
1953,Romance,2
1953,Sci-Fi,1
1953,Thriller,2
1953,War,2
1954,Adventure,2
1954,Biography,1
1954,Crime,2
1954,Drama,4
1954,Family,1
1954,Film-Noir,1
1954,History,1
1954,Mystery,1
1954,Thriller,3
1955,Comedy,1
1955,Crime,2
1955,Drama,4
1955,Fantasy,1
1955,Film-Noir,1
1955,Horror,1
1955,Mystery,1
1956,Adventure,1
1956,Crime,1
1956,Drama,5
1956,Film-Noir,1
1956,Romance,2
1956,Western,1
1957,Adventure,1
1957,Crime,2
1957,Drama,8
1957,Family,1
1957,Fantasy,1
1957,Musical,1
1957,Mystery,1
1957,Romance,1
1957,War,2
1958,Adventure,1
1958,Crime,1
1958,Drama,2
1958,Film-Noir,1
1958,Horror,1
1958,Mystery,1
1958,Romance,2
1958,Sci-Fi,1
1958,Thriller,1
1959,Action,3
1959,Adventure,3
1959,Comedy,2
1959,Crime,2
1959,Drama,7
1959,Family,1
1959,Fantasy,1
1959,History,2
1959,Mystery,2
1959,Romance,2
1959,Sci-Fi,1
1959,Western,1
1960,Comedy,1
1960,Drama,2
1960,Horror,2
1960,Mystery,1
1960,Romance,1
1960,Thriller,1
1961,Action,1
1961,Comedy,1
1961,Crime,1
1961,Drama,6
1961,Horror,1
1961,Musical,1
1961,Romance,1
1961,Sci-Fi,2
1961,Sport,1
1961,Thriller,1
1961,War,1
1961,Western,1
1962,Action,3
1962,Adventure,2
1962,Biography,1
1962,Comedy,1
1962,Crime,2
1962,Drama,7
1962,History,1
1962,Horror,2
1962,Romance,1
1962,Sci-Fi,1
1962,Thriller,3
1962,Western,1
1963,Action,3
1963,Adventure,6
1963,Biography,1
1963,Comedy,3
1963,Drama,6
1963,Fantasy,1
1963,History,3
1963,Romance,1
1963,Sport,1
1963,Thriller,1
1964,Action,1
1964,Adventure,2
1964,Comedy,4
1964,Drama,5
1964,Family,3
1964,Fantasy,1
1964,History,1
1964,Horror,1
1964,Music,1
1964,Musical,2
1964,Romance,1
1964,Thriller,2
1964,War,2
1964,Western,1
1965,Action,1
