,Year,Genre,Avg_IMDB_Rating,Avg_Metascore,Total_BoxOffice
0,1916-01-01,Drama,8.0,,0.0
1,1916-01-01,History,8.0,,0.0
2,1920-01-01,Crime,5.6,,0.0
3,1920-01-01,Drama,5.6,,0.0
4,1921-01-01,Comedy,8.3,,0.0
5,1921-01-01,Drama,8.3,,0.0
6,1921-01-01,Family,8.3,,0.0
7,1925-01-01,Adventure,8.2,,0.0
8,1925-01-01,Comedy,8.2,,0.0
9,1925-01-01,Drama,8.25,,0.0
10,1925-01-01,Romance,8.3,,0.0
11,1925-01-01,War,8.3,,0.0
12,1926-01-01,Action,8.2,,0.0
13,1926-01-01,Adventure,8.2,,0.0
14,1926-01-01,Comedy,8.2,,0.0
15,1927-01-01,Drama,8.3,98.0,529603.0
16,1927-01-01,Romance,8.3,,0.0
17,1927-01-01,Sci-Fi,8.3,98.0,529603.0
18,1928-01-01,Biography,8.3,,0.0
19,1928-01-01,Drama,8.3,,0.0
20,1928-01-01,History,8.3,,0.0
21,1929-01-01,Crime,8.0,,0.0
22,1929-01-01,Drama,7.15,,0.0
23,1929-01-01,Musical,6.3,,0.0
24,1929-01-01,Romance,7.15,,0.0
25,1930-01-01,Drama,7.949999999999999,,0.0
26,1930-01-01,War,7.949999999999999,,0.0
27,1931-01-01,Comedy,8.6,,0.0
28,1931-01-01,Crime,8.4,,17599.0
29,1931-01-01,Drama,8.5,,17599.0
30,1931-01-01,Mystery,8.4,,17599.0
31,1931-01-01,Romance,8.6,,0.0
32,1932-01-01,Drama,6.6,,0.0
33,1932-01-01,Romance,6.6,,0.0
34,1932-01-01,War,6.6,,0.0
35,1933-01-01,Comedy,7.05,,0.0
36,1933-01-01,Drama,6.5,,0.0
37,1933-01-01,History,6.5,,0.0
38,1933-01-01,Musical,7.6,,0.0
39,1933-01-01,Romance,7.6,,0.0
40,1934-01-01,Comedy,8.2,,0.0
41,1934-01-01,Romance,8.2,,0.0
42,1935-01-01,Comedy,7.949999999999999,,0.0
43,1935-01-01,Music,8.1,,0.0
44,1935-01-01,Musical,7.949999999999999,,0.0
45,1935-01-01,Romance,7.8,,0.0
46,1936-01-01,Action,7.1,,0.0
47,1936-01-01,Adventure,7.1,,0.0
48,1936-01-01,Comedy,8.5,96.0,0.0
49,1936-01-01,Drama,8.5,96.0,0.0
50,1936-01-01,Family,8.5,96.0,0.0
51,1936-01-01,Romance,7.1,,0.0
52,1937-01-01,Adventure,7.7,,0.0
53,1937-01-01,Animation,7.6,,0.0
54,1937-01-01,Drama,7.7,,0.0
55,1937-01-01,Family,7.6,,0.0
56,1937-01-01,Fantasy,7.6,,0.0
57,1937-01-01,Romance,7.7,,0.0
58,1938-01-01,Comedy,8.0,,0.0
59,1938-01-01,Drama,7.5,,0.0
60,1938-01-01,Musical,7.0,,0.0
61,1938-01-01,Romance,7.5,,0.0
62,1939-01-01,Adventure,8.1,100.0,3840702.0
63,1939-01-01,Comedy,8.2,,0.0
64,1939-01-01,Drama,8.2,97.0,0.0
65,1939-01-01,Family,8.1,100.0,3840702.0
66,1939-01-01,Fantasy,8.1,100.0,3840702.0
67,1939-01-01,History,8.2,97.0,0.0
68,1939-01-01,Romance,8.2,97.0,0.0
69,1940-01-01,Adventure,7.1,,0.0
70,1940-01-01,Animation,7.65,,0.0
71,1940-01-01,Comedy,8.0,,0.0
72,1940-01-01,Drama,7.733333333333333,,0.0
73,1940-01-01,Family,7.266666666666667,,0.0
74,1940-01-01,Fantasy,7.15,,0.0
75,1940-01-01,History,8.1,,0.0
76,1940-01-01,Mystery,8.2,,0.0
77,1940-01-01,Romance,7.824999999999999,,0.0
78,1940-01-01,War,8.5,,0.0
79,1941-01-01,Drama,8.1,100.0,0.0
80,1941-01-01,Family,7.8,,0.0
81,1941-01-01,Film-Noir,8.1,,0.0
82,1941-01-01,Mystery,8.25,100.0,0.0
83,1942-01-01,Animation,7.3,,0.0
84,1942-01-01,Drama,7.9,100.0,0.0
85,1942-01-01,Family,7.3,,0.0
86,1942-01-01,Romance,8.5,100.0,0.0
87,1942-01-01,War,8.5,100.0,0.0
88,1943-01-01,Drama,7.0,,0.0
89,1943-01-01,Romance,7.0,,0.0
90,1943-01-01,War,7.0,,0.0
91,1944-01-01,Comedy,7.25,,0.0
92,1944-01-01,Crime,6.2,,0.0
93,1944-01-01,Drama,6.233333333333334,,0.0
94,1944-01-01,Film-Noir,8.2,,0.0
95,1944-01-01,Musical,6.5,,0.0
96,1944-01-01,Mystery,8.1,,0.0
